epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
1899	0.8607	0.1534	53172	9.04 hr	10.05s	64.83s	74.88s
1909	0.8505	0.1423	53452	9.08 hr	10.31s	64.90s	75.20s
1919	0.8435	0.1404	53732	9.13 hr	10.71s	64.84s	75.55s
1929	0.8566	0.1294	54012	9.18 hr	10.44s	64.89s	75.33s
1939	0.8464	0.1481	54292	9.23 hr	10.07s	64.79s	74.85s
1949	0.8438	0.1904	54572	9.27 hr	10.10s	64.94s	75.04s
1959	0.8501	0.1489	54852	9.32 hr	10.07s	64.79s	74.85s
1969	0.8474	0.1578	55132	9.37 hr	10.47s	64.84s	75.32s
1979	0.8536	0.1332	55412	9.42 hr	10.13s	64.90s	75.02s
1989	0.8516	0.1546	55692	9.46 hr	10.40s	64.84s	75.24s
1999	0.8580	0.1293	55972	9.51 hr	10.64s	64.94s	75.58s
2009	0.8210	0.1398	56252	9.56 hr	10.08s	64.94s	75.02s
2019	0.8472	0.1407	56532	9.61 hr	10.32s	64.88s	75.20s
2029	0.8362	0.1212	56812	9.65 hr	10.23s	64.78s	75.01s
2039	0.8252	0.1605	57092	9.70 hr	10.41s	64.90s	75.31s
2049	0.8488	0.1836	57372	9.75 hr	10.58s	64.84s	75.43s
2059	0.8579	0.2278	57652	9.80 hr	10.63s	64.91s	75.54s
2069	0.8479	0.1193	57932	9.84 hr	10.62s	64.91s	75.53s
2079	0.8338	0.1894	58212	9.89 hr	10.16s	64.83s	75.00s
2089	0.8387	0.1572	58492	9.94 hr	10.09s	64.79s	74.87s
2099	0.8337	0.1882	58772	9.99 hr	10.06s	64.83s	74.89s
2109	0.8520	0.1628	59052	10.03 hr	10.61s	64.89s	75.50s
2119	0.8488	0.1493	59332	10.08 hr	10.09s	64.78s	74.86s
2129	0.8522	0.1225	59612	10.13 hr	10.29s	64.81s	75.10s
2139	0.8542	0.1475	59892	10.18 hr	10.56s	64.83s	75.39s
2149	0.8312	0.1364	60172	10.22 hr	10.07s	64.88s	74.95s
2159	0.8416	0.1349	60452	10.27 hr	10.24s	64.99s	75.23s
2169	0.8370	0.1933	60732	10.32 hr	10.47s	64.78s	75.25s
2179	0.8631	0.1700	61012	10.37 hr	10.03s	64.85s	74.88s
2189	0.8595	0.1865	61292	10.41 hr	10.23s	64.83s	75.06s
2199	0.8575	0.1712	61572	10.46 hr	10.27s	64.77s	75.04s
2209	0.8499	0.1288	61852	10.51 hr	10.27s	64.90s	75.17s
2219	0.8603	0.1111	62132	10.56 hr	11.05s	64.78s	75.83s
2229	0.8415	0.1298	62412	10.60 hr	10.13s	64.83s	74.96s
2239	0.8542	0.1772	62692	10.65 hr	10.58s	64.87s	75.45s
2249	0.8478	0.1308	62972	10.70 hr	10.14s	64.78s	74.92s
2259	0.8555	0.2052	63252	10.75 hr	10.58s	64.84s	75.42s
2269	0.8617	0.1134	63532	10.79 hr	10.42s	64.91s	75.33s
2279	0.8585	0.1200	63812	10.84 hr	10.15s	64.76s	74.91s
2289	0.8507	0.1569	64092	10.89 hr	10.16s	64.82s	74.98s
2299	0.8375	0.1564	64372	10.94 hr	10.13s	64.84s	74.96s
2309	0.8635	0.1203	64652	10.98 hr	10.14s	64.78s	74.93s
2319	0.8394	0.1525	64932	11.03 hr	10.54s	64.98s	75.52s
2329	0.8277	0.1619	65212	11.08 hr	10.17s	64.83s	75.00s
2339	0.8438	0.1525	65492	11.13 hr	10.25s	64.83s	75.07s
2349	0.8621	0.1356	65772	11.17 hr	10.13s	64.82s	74.95s
2359	0.8619	0.1243	66052	11.22 hr	10.56s	64.83s	75.40s
2369	0.8129	0.1707	66332	11.27 hr	10.12s	64.89s	75.01s
2379	0.8541	0.1440	66612	11.32 hr	10.48s	64.93s	75.41s
2389	0.8284	0.1615	66892	11.37 hr	10.51s	64.82s	75.33s
2399	0.8132	0.1903	67172	11.41 hr	10.03s	64.78s	74.81s
2409	0.8355	0.1928	67452	11.46 hr	10.06s	64.78s	74.83s
2419	0.8527	0.1429	67732	11.51 hr	10.63s	64.93s	75.57s
2429	0.8443	0.1170	68012	11.55 hr	10.69s	64.78s	75.47s
2439	0.8494	0.1458	68292	11.60 hr	10.14s	64.93s	75.07s
2449	0.8118	0.1929	68572	11.65 hr	10.15s	64.87s	75.01s
2459	0.8469	0.1298	68852	11.70 hr	10.12s	64.78s	74.90s
2469	0.8523	0.1603	69132	11.74 hr	10.09s	64.83s	74.92s
2479	0.8422	0.1769	69412	11.79 hr	10.57s	64.89s	75.46s
2489	0.8521	0.1483	69692	11.84 hr	10.51s	64.92s	75.43s
2499	0.8535	0.1684	69972	11.89 hr	10.05s	64.89s	74.95s
2509	0.8483	0.1654	70252	11.93 hr	10.41s	64.89s	75.30s
2519	0.8526	0.1365	70532	11.98 hr	10.87s	64.89s	75.75s
